Q610788,Q57615,2016-01-29,https://publico.pt/1721755
Q1688029,Q57615,2015-03-26,https://arquivo.pt/wayback/20150326000535/http://www.jn.pt/PaginaInicial/Politica/Interior.aspx?content_id=4469311
Q439377,Q610788,2016-05-28,https://arquivo.pt/wayback/20160528000911/http://www.jornaldenegocios.pt/economia/financas_publicas/detalhe/AMP/cristas_acusa_costa_de_plagiar_medidas_do_anterior_governo_no_simplex_.html
Q16940732,Q10324447,2019-06-07,https://arquivo.pt/wayback/20190607134247/https://www.dn.pt/lusa/interior/be-critica-inacao-de-moreira-e-pizarro-para-travar-alojamento-local-no-porto-10984448.html
Q57398,Q182367,2011-03-23,https://arquivo.pt/wayback/20110323173210/http://www.jornaldenegocios.pt/home.php?template=SHOWNEWS_V2&id=474989
Q69935603,Q7378729,2018-10-04,https://arquivo.pt/wayback/20181004031441/https://expresso.sapo.pt/politica/2018-09-22-Andre-Ventura-lanca-movimento-para-destituir-Rui-Rio
Q15849,Q610788,2016-09-23,https://publico.pt/1745015
Q444059,Q610788,2017-06-12,https://arquivo.pt/wayback/20170612063241/http://expresso.sapo.pt/politica/2015-06-11-Ferreira-Leite-Ainda-antes-do-discurso-do-PR-ja-Costa-sabia-o-que-ia-dizer--1
Q440355,Q6756617,2016-01-06,https://arquivo.pt/wayback/20160106182324/http://www.rtp.pt/noticias/eleicoes-presidenciais-2016/marisa-matias-acusa-marcelo-rebelo-de-sousa-de-ter-mentido_v885953
Q2844986,Q57398,2011-03-10,https://arquivo.pt/wayback/20110310172817/http://www.jornaldenegocios.pt/home.php?template=SHOWNEWS_V2&id=472437
Q15267277,Q13582493,2008-01-03,https://arquivo.pt/wayback/20080103050750/http://dn.sapo.pt/2005/07/17/nacional/salgado_retira_apoio_a_carrilho_defi.html
Q266197,Q57398,2011-01-13,https://arquivo.pt/wayback/20110113010436/http://noticias.sapo.pt/lusa/artigo/11976716.html
Q1709692,Q239248,2018-04-23,https://arquivo.pt/wayback/20180423205514/https://www.sabado.pt/portugal/detalhe/vieira-da-silva-demorou-dois-anos-a-aprovar-auditoria-que-arrasa-santana
Q357941,Q444059,2008-06-23,https://publico.pt/1333301
Q13581707,Q13582493,2017-12-28,https://arquivo.pt/wayback/20171228212925/http://expresso.sapo.pt/sociedade/2017-12-15-Juiza-contestada-por-Barbara-Guimaraes-absolve-Carrilho-do-crime-de-violencia-domestica
Q7666117,Q57398,2016-03-04,https://arquivo.pt/wayback/20160304044528/http://observador.pt/videos/o-meu-cavaquismo/sergio-sousa-pinto-anos-cavaco-encheram-pais-otimismo-acompanhado-novo-riquismo/p4.guvO.9_KpbOyQdcUwmcSrTO4WGzf9cp94o31K44..U7/
Q57615,Q6756617,2014-10-23,https://arquivo.pt/wayback/20141023032118/http://www.rtp.pt/noticias/index.php?article=684462&tm=9&layout=123&visual=61
Q656518,Q57615,2010-06-15,https://arquivo.pt/wayback/20100615053235/http://www.ionline.pt/conteudo/62819-francisco-assis-critica-passos-coelho-sugerir-remodelacao-
Q239248,Q610788,2009-07-15,https://publico.pt/1391850
Q611579,Q57398,2011-01-30,https://arquivo.pt/wayback/20110130204640/http://www.sabado.pt/Ultima-hora/Sociedade/Almeida-Santos-diz-que-Cavaco-foi--quot;cruel-quot.aspx
Q182367,Q57615,2016-05-07,https://arquivo.pt/wayback/20160507185110/http://www.aeiou.pt/quiosque/se-passos-fosse-primeiro-ministro-nao-iria-a-inauguracao-do-tunel-do-marao
Q182367,Q18707871,2016-09-14,https://arquivo.pt/wayback/20160914225123/http://www.dnoticias.pt/actualidade/pais/610838-socrates-pede-recusa-do-juiz-carlos-alexandre
Q16940875,Q1386216,2006-05-06,https://publico.pt/1256295
Q57615,Q10365280,2013-10-15,https://arquivo.pt/wayback/20131015220144/http://www.jn.pt/PaginaInicial/Politica/Interior.aspx?content_id=3460602
Q439377,Q610788,2019-06-18,https://arquivo.pt/wayback/20190618162657/https://www.jn.pt/nacional/canal/europeias-2019/interior/amp/cristas-acusa-costa-de-querer-ir-para-a-europa-para-nao-reparar-estragos-10926211.html
Q611579,Q784504,2007-02-26,https://publico.pt/1286707
Q57615,Q567,2011-04-09,https://arquivo.pt/wayback/20110409210548/http://www.jornaldenegocios.pt/home.php?template=SHOWNEWS_V2&id=475583
Q550243,Q13581124,2013-08-12,https://arquivo.pt/wayback/20130812040616/http://expresso.sapo.pt/marques-mendes-diz-que-maria-luis-sai-fragilizada=f825528_2?page=2&limit=15
Q16493915,Q4777562,2016-04-24,https://arquivo.pt/wayback/20160424220035/http://www.ionline.pt/508825
Q65497945,Q610788,2015-10-05,https://arquivo.pt/wayback/20151005122149/http://www.rtp.pt/noticias/eleicoes-legislativas-2015/antonio-braga-exige-demissao-de-costa-da-lideranca-do-ps_n863569
Q5716738,Q610788,2015-10-15,https://arquivo.pt/wayback/20151015212457/http://observador.pt/2015/10/04/henrique-neto-antonio-costa-tentar-recuar-deve-demitir/
