Q610788,António Costa
Q57615,Pedro Passos Coelho
Q1688029,Jerónimo de Sousa
Q439377,Assunção Cristas
Q16940732,Rui Moreira
Q10324447,Manuel Pizarro
Q57398,Aníbal Cavaco Silva
Q182367,José Sócrates
Q69935603,André Ventura
Q7378729,Rui Rio
Q15849,José Manuel Durão Barroso
Q444059,Manuela Ferreira Leite
Q440355,Marisa Matias
Q6756617,Marcelo Rebelo de Sousa
Q2844986,Ana Gomes
Q15267277,Ricardo Salgado
Q13582493,Manuel Maria Carrilho
Q266197,Defensor Moura
Q1709692,José Vieira da Silva
Q239248,Pedro Santana Lopes
Q357941,Mário Lino
Q13581707,Bárbara Guimarães
Q7666117,Sérgio Sousa Pinto
Q656518,Francisco Assis
Q611579,António de Almeida Santos
Q18707871,Carlos Alexandre
Q16940875,Telmo Correia
Q1386216,José Ribeiro e Castro
Q10365280,Rui Machete
Q784504,Alberto João Jardim
Q567,Angela Merkel
Q550243,Luís Marques Mendes
Q13581124,Maria Luís Albuquerque
Q16493915,Arnaldo Matos
Q4777562,Garcia Pereira
Q65497945,António Braga
Q5716738,Henrique Neto
Q9029075,Marina Ferreira
Q85876514,Pedro Calado
Q65498301,Maximiano Martins
Q17318300,Miguel Pinto Luz
Q3186389,José Luís Arnaut
Q40722,Dilma Rousseff
Q3186200,José Manuel Rodrigues Berardo
Q17725191,Jorge Barreto Xavier
Q48856511,Jaime Ramos
Q156780,Jorge Sampaio
Q737410,Manuel Alegre
Q769747,Augusto Santos Silva
Q10394994,Zeinal Bava
Q10263917,Daniel Bessa
Q2857730,Bagão Félix
Q21568721,Mário Centeno
Q10346767,Paulo Rangel
Q57661,Jean-Claude Juncker
Q2571494,Carlos César
Q157,François Hollande
Q10281394,Fernando José Pinto Monteiro
Q6706787,Luís Filipe Menezes
Q611182,Marinho Pinto
Q11728611,José Mendes Bota
Q10307287,Joaquim Manuel Cabrita Neto
Q6293647,José Pacheco Pereira
Q22005939,Pedro Marques
Q294460,Mario Draghi
Q10281462,Fernando Negrão
Q925136,Eduardo Ferro Rodrigues
Q10325930,Maria José Nogueira Pinto
Q5043745,Carmona Rodrigues
Q156781,Mário Soares
Q529992,Vítor Constâncio
Q3131021,Miguel Macedo
Q1340708,João Barroso Soares
Q10281523,Fernando Seara
Q1580316,António José Seguro
Q58161,Paulo Portas
Q25440961,Paulo Núncio
Q11767932,Marco António Costa
Q10321568,Luís Mira Amaral
Q10335529,Narciso Miranda
Q3183808,Jorge Coelho
Q3069519,Fernando Nobre
Q1382767,Manuel Pinho
Q745134,Mota Amaral
Q16498018,Berta Cabral
Q13576558,Miguel Poiares Maduro
Q1442096,Francisco Louçã
Q8077028,Ângelo Correia
Q4007647,Valentim Loureiro
Q58132,Nicolás Maduro
Q22686,Donald Trump
Q612666,Catarina Martins
Q40688,Yanis Varoufakis
